Model,Accuracy,F1_Score,Precision,Recall
Logistic Regression,0.9937888198757764,0.993758020635491,0.9938906425007638,0.9937888198757764
K-Nearest Neighbors,0.9937888198757764,0.993758020635491,0.9938906425007638,0.9937888198757764
Random Forest,0.9875776397515528,0.9874494186682355,0.9879783610498898,0.9875776397515528
SVM,0.9875776397515528,0.9875031254605398,0.9876794623765401,0.9875776397515528
Decision Tree,0.9565217391304348,0.9560515789380203,0.9574214355069895,0.9565217391304348
Naive Bayes,0.9254658385093167,0.9257023471461919,0.9372470446804246,0.9254658385093167
